"Hello, %s!","Hello, %s!"
"Support","Support"
"My Support Dashboard","My Support Dashboard"
"From here you have the ability to view all of your support tickets. Select a support ticket from the list or create a new one.","From here you have the ability to view all of your support tickets. Select a support ticket from the list or create a new one."
"Support Tickets","Support Tickets"
"Subject","Subject"
"Actions","Actions"
"Do you really want to delete this ticket?","Do you really want to delete this ticket?"
"Open New Support Ticket","Open New Support Ticket"
"Edit ticket","Edit ticket"
"Create ticket","Create ticket"
"Ticket Information","Ticket Information"
"Ticket Information (%s)","Ticket Information (%s)"
"* Required Fields","* Required Fields"
"Back","Back"
"Save Ticket","Save Ticket"
"Required","Required"
"Message","Message"
"Reply","Reply"
"Reply to this ticket","Reply to this ticket"
"Customers","Customers"
"Ticket Manager","Ticket Manager"
"Ticket Support","Ticket Support"
"Ticket #","Ticket #"
"ID","ID"
"Support ID","Support ID"
"Customer ID","Customer ID"
"Website ID","Website ID"
"Active","Active"
"CSV","CSV"
"Excel XML","Excel XML"
"Close","Close"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Tickets","Tickets"
"Manage Tickets","Manage Tickets"
"Ticket Information","Ticket Information"
"Ticket Replies","Ticket Replies"
"This ticket no longer exists.","This ticket no longer exists."
"The ticket has been deleted.","The ticket has been deleted."
"An error occurred while deleting the ticket.","An error occurred while deleting the ticket."